City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Ternate,ID,83.64,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
3,Ormara,PK,82.51,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
9,Puerto Ayora,EC,75.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Faanui,PF,82.35,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Busselton,AU,77.0,clear sky,-33.65,115.3333,Observatory Guest House
17,Arraial Do Cabo,BR,75.34,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
20,Rikitea,PF,77.11,scattered clouds,-23.1203,-134.9692,Pension Maro'i
21,Waingapu,ID,86.07,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
29,Arlit,NE,83.88,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
31,Hithadhoo,MV,82.47,broken clouds,-0.6,73.0833,Scoop Guest House
36,Carnarvon,AU,82.29,few clouds,-24.8667,113.6333,Hospitality Carnarvon
41,Georgetown,MY,89.6,scattered clouds,5.4112,100.3354,Cititel Penang
46,Gashua,NG,80.46,overcast clouds,12.870999999999999,11.0482,Forte Oil - Old Lorry Park
52,Mecca,SA,87.39,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
55,Lagos,NG,80.6,few clouds,6.5833,3.75,
70,Khash,IR,75.7,overcast clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
73,Tiarei,PF,82.4,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
81,Butaritari,KI,81.75,moderate rain,3.0707,172.7902,Isles Sunset Lodge
86,Avarua,CK,77.0,broken clouds,-21.2078,-159.775,Paradise Inn
87,Nushki,PK,80.02,scattered clouds,29.5542,66.0215,Jahangir Hotel Noshki
89,Benguela,AO,80.08,clear sky,-12.5763,13.4055,Hotel Praia Morena
94,Hilo,US,77.0,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
98,Atuona,PF,80.47,scattered clouds,-9.8,-139.0333,Villa Enata
109,Labuhan,ID,85.08,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
114,Geraldton,AU,84.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
118,Najran,SA,75.2,clear sky,17.4924,44.1277,محمد هادي ال فطيح
122,Kalmunai,LK,87.12,overcast clouds,7.4167,81.8167,VS Villa
131,Antsohihy,MG,81.64,overcast clouds,-14.8796,47.9875,Hotel de Ville
134,San Carlos,VE,78.73,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
139,Victoria,HK,77.0,broken clouds,22.2855,114.1577,Mini Hotel Central
141,Venice,US,77.0,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
142,Santa Rosa,PH,90.0,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
147,Muisne,EC,76.14,overcast clouds,0.6,-80.0333,Quinta Samay
151,Diapaga,BF,83.19,overcast clouds,12.0708,1.7889,
157,Karratha,AU,88.25,clear sky,-20.7377,116.8463,ibis Styles Karratha
160,Salalah,OM,84.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
161,Pontianak,ID,86.0,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
163,Dingle,PH,88.29,light rain,10.9995,122.6711,SEGAYA PROPERTY
171,Makakilo City,US,77.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
172,Saint-Philippe,RE,82.4,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
175,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
176,Catuday,PH,82.85,broken clouds,16.2923,119.8062,GResort
178,Acarau,BR,76.21,scattered clouds,-2.8856,-40.12,castelo pizzaria
