City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,42.8,87,75,4.61,broken clouds
1,San Jeronimo,PE,-11.9472,-75.2829,46.69,81,69,2.35,broken clouds
2,Ternate,ID,0.8,127.4,83.64,74,81,11.14,broken clouds
3,Ormara,PK,25.2088,64.6357,82.51,66,70,10.83,broken clouds
4,Novikovo,RU,51.1537,37.8879,47.68,66,93,7.54,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,48.2,87,0,5.75,clear sky
6,Mataura,NZ,-46.1927,168.8643,57.99,64,51,7.0,broken clouds
7,Magadan,RU,59.5667,150.8,31.66,98,100,4.09,light snow
8,New Norfolk,AU,-42.7826,147.0587,62.01,73,100,5.99,light rain
9,Puerto Ayora,EC,-0.7393,-90.3518,75.0,99,80,3.29,broken clouds
10,Faanui,PF,-16.4833,-151.75,82.35,73,30,9.33,scattered clouds
11,Busselton,AU,-33.65,115.3333,77.0,44,0,1.99,clear sky
12,Tasiilaq,GL,65.6145,-37.6368,23.0,80,90,2.08,overcast clouds
13,Vila Velha,BR,-20.3297,-40.2925,69.8,94,40,3.44,scattered clouds
14,Naze,JP,28.3667,129.4833,68.0,49,75,20.71,broken clouds
15,Katsuura,JP,35.1333,140.3,69.01,39,20,29.93,few clouds
16,Coihaique,CL,-45.5752,-72.0662,49.06,94,100,2.77,overcast clouds
17,Arraial Do Cabo,BR,-22.9661,-42.0278,75.34,81,99,20.42,overcast clouds
18,Nikolskoye,RU,59.7035,30.7861,46.4,42,0,6.71,clear sky
19,Roald,NO,62.5833,6.1333,42.8,56,0,10.36,clear sky
20,Rikitea,PF,-23.1203,-134.9692,77.11,70,26,5.55,scattered clouds
21,Waingapu,ID,-9.6567,120.2641,86.07,62,97,12.21,overcast clouds
22,Sobolevo,RU,54.4299,31.8996,45.36,77,59,14.23,broken clouds
23,Petropavl,KZ,54.8753,69.1628,48.2,57,0,15.66,clear sky
24,Maceio,BR,-9.6658,-35.7353,73.4,100,40,4.61,mist
25,Krasnoselkup,RU,65.7,82.4667,3.6,82,63,16.37,broken clouds
26,Nyurba,RU,63.2842,118.3319,20.66,83,100,10.02,light snow
27,Severo-Yeniseyskiy,RU,60.3725,93.0408,27.3,72,100,13.67,overcast clouds
28,Bluff,NZ,-46.6,168.3333,57.99,64,87,7.0,overcast clouds
29,Arlit,NE,18.7369,7.3853,83.88,7,92,7.34,overcast clouds
30,Muros,ES,42.7762,-9.0603,46.0,90,96,5.68,overcast clouds
31,Hithadhoo,MV,-0.6,73.0833,82.47,62,54,5.5,broken clouds
32,Lompoc,US,34.6391,-120.4579,51.8,87,10,4.61,clear sky
33,Mar Del Plata,AR,-38.0023,-57.5575,66.99,100,75,5.75,broken clouds
34,Rio Gallegos,AR,-51.6226,-69.2181,48.88,61,31,9.62,scattered clouds
35,Port Elizabeth,ZA,-33.918,25.5701,53.6,82,0,3.44,clear sky
36,Carnarvon,AU,-24.8667,113.6333,82.29,44,13,10.58,few clouds
37,Bar Harbor,US,44.3876,-68.2039,37.99,87,90,6.91,overcast clouds
38,Mancora,PE,-4.1078,-81.0475,74.79,74,99,2.13,overcast clouds
39,Norman Wells,CA,65.282,-126.8329,33.8,64,40,2.06,scattered clouds
40,Ulcinj,ME,41.9294,19.2244,48.2,87,90,2.3,overcast clouds
41,Georgetown,MY,5.4112,100.3354,89.6,66,40,4.61,scattered clouds
42,Boca Do Acre,BR,-8.7522,-67.3978,72.01,99,100,1.79,overcast clouds
43,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,80,40,10.36,scattered clouds
44,Provideniya,RU,64.3833,-173.3,26.64,94,52,2.98,broken clouds
45,Pevek,RU,69.7008,170.3133,24.12,78,7,19.95,clear sky
46,Gashua,NG,12.871,11.0482,80.46,10,95,4.5,overcast clouds
47,Vanavara,RU,60.34,102.2797,27.46,58,89,10.04,overcast clouds
48,Kosh-Agach,RU,50.0,88.6667,43.39,26,2,9.53,clear sky
49,Vila,PT,42.0304,-8.1588,53.01,81,0,6.91,clear sky
50,Ushuaia,AR,-54.8,-68.3,50.0,57,40,11.5,scattered clouds
51,Yar-Sale,RU,66.8333,70.8333,9.16,90,69,14.94,broken clouds
52,Mecca,SA,21.4267,39.8261,87.39,33,65,0.81,broken clouds
53,Iskateley,RU,67.6803,53.1512,19.92,82,27,11.34,scattered clouds
54,Hoquiam,US,46.9809,-123.8893,59.0,67,1,3.44,clear sky
55,Lagos,NG,6.5833,3.75,80.6,94,20,2.19,few clouds
56,Hwange,ZW,-18.3693,26.5019,62.94,58,9,7.72,clear sky
57,Zabol,AF,32.25,67.25,66.6,13,2,17.58,clear sky
58,Billings,US,45.7833,-108.5007,48.2,34,75,8.05,broken clouds
59,Sayyan,YE,15.1718,44.3244,65.61,26,44,11.27,scattered clouds
60,Kapaa,US,22.0752,-159.319,71.6,60,20,10.36,few clouds
61,Albany,US,42.6001,-73.9662,41.0,79,95,2.1,overcast clouds
62,Castro,BR,-24.7911,-50.0119,54.88,97,4,2.62,clear sky
63,Tiksi,RU,71.6872,128.8694,10.08,82,100,8.97,overcast clouds
64,Jamestown,US,42.097,-79.2353,44.01,87,90,4.61,overcast clouds
65,Sao Filipe,CV,14.8961,-24.4956,71.44,73,0,8.9,clear sky
66,Erzin,TR,36.9559,36.2,73.0,54,84,1.01,broken clouds
67,Hermanus,ZA,-34.4187,19.2345,71.01,23,0,8.99,clear sky
68,Adrar,MR,20.5022,-10.0711,67.68,29,0,9.19,clear sky
69,Alvaraes,BR,-3.2208,-64.8042,72.5,99,99,2.08,moderate rain
70,Khash,IR,28.2211,61.2158,75.7,14,100,7.61,overcast clouds
71,Grindavik,IS,63.8424,-22.4338,35.6,75,75,13.8,moderate rain
72,Faya,SA,18.3851,42.4509,57.2,67,40,8.05,scattered clouds
73,Tiarei,PF,-17.5333,-149.3333,82.4,69,20,2.3,few clouds
74,Xiaoweizhai,CN,26.1903,107.5125,57.88,96,100,2.66,overcast clouds
75,Deputatskiy,RU,69.3,139.9,16.75,86,100,19.98,overcast clouds
76,Kitale,KE,1.0157,35.0062,69.94,52,57,1.83,broken clouds
77,Victor Harbor,AU,-35.5667,138.6167,64.99,68,83,1.99,broken clouds
78,Hami,CN,42.8,93.45,73.85,9,92,1.43,overcast clouds
79,Abapo,BO,-18.8333,-63.4667,64.87,96,96,2.53,overcast clouds
80,Cape Town,ZA,-33.9258,18.4232,71.01,51,0,8.05,clear sky
81,Butaritari,KI,3.0707,172.7902,81.75,78,99,10.83,moderate rain
82,Tuatapere,NZ,-46.1333,167.6833,57.99,64,91,7.0,overcast clouds
83,Esso,RU,55.9333,158.7,36.5,99,100,3.02,overcast clouds
84,Dikson,RU,73.5069,80.5464,3.31,90,72,5.93,broken clouds
85,Stornoway,GB,58.2093,-6.3865,45.0,93,90,25.32,overcast clouds
86,Avarua,CK,-21.2078,-159.775,77.0,88,61,3.44,broken clouds
87,Nushki,PK,29.5542,66.0215,80.02,12,33,3.85,scattered clouds
88,Leopold,AU,-38.1833,144.4667,66.2,59,90,14.97,overcast clouds
89,Benguela,AO,-12.5763,13.4055,80.08,66,10,4.65,clear sky
90,Lages,BR,-27.8161,-50.3261,52.07,98,79,1.72,broken clouds
91,Port Alfred,ZA,-33.5906,26.891,71.42,26,6,7.49,clear sky
92,East London,ZA,-33.0153,27.9116,55.4,71,0,4.61,clear sky
93,Baltiysk,RU,54.6538,19.911,48.2,87,0,6.71,clear sky
94,Hilo,US,19.7297,-155.09,77.0,61,75,3.44,broken clouds
95,Ponta Do Sol,PT,32.6667,-17.1,55.99,73,70,3.0,broken clouds
96,Cankuzo,BI,-3.1333,30.5833,62.01,93,98,5.44,light rain
97,Luena,AO,-11.7833,19.9167,62.62,79,76,4.94,broken clouds
98,Atuona,PF,-9.8,-139.0333,80.47,74,29,18.97,scattered clouds
99,Guerrero Negro,MX,27.9769,-114.0611,58.05,82,0,16.26,clear sky
100,Hasaki,JP,35.7333,140.8333,70.0,34,75,13.8,broken clouds
101,Maketu,NZ,-37.7667,176.45,62.01,70,46,1.01,scattered clouds
102,Thompson,CA,55.7435,-97.8558,24.8,80,90,10.36,light snow
103,Chute-Aux-Outardes,CA,49.1168,-68.399,33.8,75,90,4.61,overcast clouds
104,Dali,CN,25.7,100.1833,72.5,34,57,7.29,broken clouds
105,Hamilton,US,39.1834,-84.5333,45.0,87,1,5.75,clear sky
106,De-Kastri,RU,51.4667,140.7833,38.95,96,99,5.17,overcast clouds
107,Tigil,RU,57.8,158.6667,36.21,86,100,13.51,overcast clouds
108,Filadelfia,US,39.9523,-75.1638,50.0,66,90,3.44,overcast clouds
109,Labuhan,ID,-6.8844,112.2051,85.08,64,96,5.28,overcast clouds
110,Barrow,US,71.2906,-156.7887,32.0,74,1,11.5,clear sky
111,Aban,RU,56.67,96.06,31.01,68,100,10.04,overcast clouds
112,Saint Anthony,US,45.0205,-93.218,46.4,65,1,3.44,clear sky
113,Coquimbo,CL,-29.9533,-71.3436,57.2,88,90,2.3,overcast clouds
114,Geraldton,AU,-28.7667,114.6,84.2,30,0,18.41,clear sky
115,Fort Saint James,CA,54.4333,-124.25,45.19,86,100,4.07,overcast clouds
116,Hobart,AU,-42.8794,147.3294,62.01,55,75,14.97,broken clouds
117,Ayios Nikolaos,GR,38.4167,23.65,55.0,100,40,1.07,scattered clouds
