City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lata,PT,2021-04-14 20:38:12,40.1629,-8.3327,62.01,94,100,1.77
1,Tiksi,RU,2021-04-14 20:42:13,71.6872,128.8694,3.16,96,100,2.8
2,Ushuaia,AR,2021-04-14 20:42:13,-54.8,-68.3,46.4,46,20,18.41
3,Clacton-On-Sea,GB,2021-04-14 20:42:14,51.7897,1.156,41.0,78,23,5.01
4,Lorengau,PG,2021-04-14 20:42:14,-2.0226,147.2712,81.28,74,59,6.49
5,Cape Town,ZA,2021-04-14 20:40:01,-33.9258,18.4232,64.99,88,0,8.05
6,Souillac,MU,2021-04-14 20:42:15,-20.5167,57.5167,78.8,78,40,6.91
7,Kapaa,US,2021-04-14 20:42:15,22.0752,-159.319,78.8,57,40,13.8
8,Rikitea,PF,2021-04-14 20:42:16,-23.1203,-134.9692,77.9,69,8,5.91
9,Concarneau,FR,2021-04-14 20:42:16,47.875,-3.9225,46.4,57,0,11.5
10,Mar Del Plata,AR,2021-04-14 20:41:56,-38.0023,-57.5575,73.4,49,20,10.36
11,Moose Factory,CA,2021-04-14 20:42:17,51.2585,-80.6094,37.4,87,90,10.36
12,Mount Isa,AU,2021-04-14 20:42:17,-20.7333,139.5,66.2,48,1,8.95
13,Port Alfred,ZA,2021-04-14 20:42:18,-33.5906,26.891,69.19,79,84,4.74
14,Vostok,RU,2021-04-14 20:42:18,46.4856,135.8833,22.21,58,64,9.06
15,Norman Wells,CA,2021-04-14 20:42:19,65.282,-126.8329,37.4,52,40,13.8
16,Vaini,TO,2021-04-14 20:42:20,-21.2,-175.2,77.0,78,20,2.3
17,Saint-Philippe,RE,2021-04-14 20:42:20,-21.3585,55.7679,78.8,78,0,5.75
18,Punta Arenas,CL,2021-04-14 20:42:16,-53.15,-70.9167,44.6,70,40,32.21
19,Dikson,RU,2021-04-14 20:42:21,73.5069,80.5464,-19.46,100,100,4.85
20,Nikolskoye,RU,2021-04-14 20:42:22,59.7035,30.7861,39.99,87,0,8.95
21,Hilo,US,2021-04-14 20:42:22,19.7297,-155.09,78.8,57,1,9.22
22,Bria,CF,2021-04-14 20:42:23,6.5423,21.9863,80.1,42,68,4.47
23,New Norfolk,AU,2021-04-14 20:42:23,-42.7826,147.0587,53.01,84,100,1.99
24,Castro,BR,2021-04-14 20:42:24,-24.7911,-50.0119,61.5,70,98,4.63
25,Srednekolymsk,RU,2021-04-14 20:42:24,67.45,153.6833,2.43,85,32,4.38
26,Malanje,AO,2021-04-14 20:42:24,-9.5402,16.341,63.97,96,83,3.78
27,Asau,RO,2021-04-14 20:42:25,46.4333,26.4,42.01,67,100,1.61
28,Kruisfontein,ZA,2021-04-14 20:38:18,-34.0033,24.7314,62.01,95,63,1.01
29,Zhigansk,RU,2021-04-14 20:37:38,66.7697,123.3711,16.03,91,100,6.73
30,Pecos,US,2021-04-14 20:42:25,31.4229,-103.4932,69.8,40,1,3.44
31,Clyde River,CA,2021-04-14 20:42:26,70.4692,-68.5914,1.4,78,20,16.11
32,Carnarvon,AU,2021-04-14 20:42:26,-24.8667,113.6333,73.15,39,0,19.57
33,Ribeira Grande,PT,2021-04-14 20:42:27,38.5167,-28.7,62.6,94,40,5.75
34,Narsaq,GL,2021-04-14 20:42:27,60.9167,-46.05,39.2,65,20,8.05
35,Busselton,AU,2021-04-14 20:42:27,-33.65,115.3333,53.01,89,98,3.0
36,Albany,US,2021-04-14 20:42:13,42.6001,-73.9662,71.01,34,88,5.17
37,Puerto Ayora,EC,2021-04-14 20:42:28,-0.7393,-90.3518,80.6,83,20,13.8
38,Bilma,NE,2021-04-14 20:42:29,18.6853,12.9164,87.21,7,0,8.84
39,Dasoguz,TM,2021-04-14 20:42:29,41.8363,59.9666,57.2,47,0,2.3
40,Atuona,PF,2021-04-14 20:42:30,-9.8,-139.0333,80.82,78,68,20.0
41,Port Elizabeth,ZA,2021-04-14 20:39:59,-33.918,25.5701,64.4,94,75,4.61
42,Boyolangu,ID,2021-04-14 20:42:31,-8.1181,111.8935,74.41,89,98,0.67
43,Chimore,BO,2021-04-14 20:42:31,-16.9833,-65.1333,78.75,72,93,1.95
44,Komsomolskiy,UZ,2021-04-14 20:42:31,40.4272,71.7189,57.2,67,100,2.3
45,Lebu,CL,2021-04-14 20:40:02,-37.6167,-73.65,60.42,83,57,7.54
46,Haines Junction,CA,2021-04-14 20:42:32,60.7522,-137.5108,42.8,49,100,5.75
47,Batagay,RU,2021-04-14 20:42:33,67.6333,134.6333,-4.81,98,52,1.41
48,Shaoyang,CN,2021-04-14 20:42:33,27.2315,111.4525,57.34,93,100,0.89
49,La Rochelle,FR,2021-04-14 20:42:34,46.1667,-1.15,46.4,46,0,11.5
50,Qaanaaq,GL,2021-04-14 20:42:34,77.484,-69.3632,-8.95,80,0,1.97
51,Lompoc,US,2021-04-14 20:42:35,34.6391,-120.4579,59.0,55,74,10.36
52,Nanortalik,GL,2021-04-14 20:42:35,60.1432,-45.2371,33.26,89,33,14.27
53,Kuah,MY,2021-04-14 20:42:36,6.3265,99.8432,80.6,89,20,3.44
54,East London,ZA,2021-04-14 20:42:36,-33.0153,27.9116,71.2,79,70,5.68
55,Bluff,NZ,2021-04-14 20:42:37,-46.6,168.3333,51.01,97,91,1.01
56,Labuan,MY,2021-04-14 20:42:37,5.2767,115.2417,73.4,100,40,6.49
57,Arraial Do Cabo,BR,2021-04-14 20:42:38,-22.9661,-42.0278,75.34,60,72,11.25
58,Thompson,CA,2021-04-14 20:42:38,55.7435,-97.8558,33.8,29,20,5.75
59,Barrow,US,2021-04-14 20:42:39,71.2906,-156.7887,12.2,79,90,11.5
60,Mankono,CI,2021-04-14 20:42:39,8.0586,-6.1897,76.35,76,87,2.89
61,Soe,ID,2021-04-14 20:42:40,-9.8607,124.284,61.75,69,18,2.89
62,Port Moresby,PG,2021-04-14 20:42:40,-9.4431,147.1797,73.4,100,40,5.75
63,Provost,CA,2021-04-14 20:42:41,52.3501,-110.2683,51.8,24,76,8.05
64,Sinegorskiy,RU,2021-04-14 20:42:42,48.0139,40.8447,51.75,82,100,8.48
65,Praia Da Vitoria,PT,2021-04-14 20:42:43,38.7333,-27.0667,64.4,82,20,2.89
66,Xingyi,CN,2021-04-14 20:42:43,24.1877,102.817,57.13,78,50,3.76
67,Pringsewu,ID,2021-04-14 20:42:44,-5.3582,104.9744,73.17,97,86,3.29
68,Kemin,KG,2021-04-14 20:42:44,42.7846,75.6892,51.69,48,2,6.13
69,Redlands,US,2021-04-14 20:42:45,34.0556,-117.1825,68.0,37,75,4.61
70,Ust-Nera,RU,2021-04-14 20:42:45,64.5667,143.2,-8.1,97,82,4.92
71,Bethel,US,2021-04-14 20:42:46,41.3712,-73.414,71.6,30,75,10.36
72,Turzovka,SK,2021-04-14 20:42:46,49.4043,18.6226,35.6,87,90,1.14
73,Emba,KZ,2021-04-14 20:42:47,48.8264,58.1442,51.37,49,0,11.34
74,Jamestown,US,2021-04-14 20:42:33,42.097,-79.2353,55.4,44,1,6.91
75,Kikwit,CD,2021-04-14 20:42:47,-5.041,18.8162,70.23,93,99,2.98
76,Zhaotong,CN,2021-04-14 20:42:48,27.3167,103.7167,51.26,79,81,0.83
77,Iqaluit,CA,2021-04-14 20:42:48,63.7506,-68.5145,5.0,66,1,33.38
78,Kaohsiung,TW,2021-04-14 20:42:49,22.6163,120.3133,73.4,68,75,5.75
79,Beira,MZ,2021-04-14 20:38:51,-19.8436,34.8389,77.0,78,20,6.46
80,Rocha,UY,2021-04-14 20:40:54,-34.4833,-54.3333,63.32,86,0,7.49
81,Severo-Kurilsk,RU,2021-04-14 20:42:50,50.6789,156.125,39.92,91,100,24.65
82,Buenos Aires,AR,2021-04-14 20:42:46,-34.6132,-58.3772,73.0,60,0,6.91
83,Sitka,US,2021-04-14 20:42:50,57.0531,-135.33,44.6,76,90,4.61
84,Chimbote,PE,2021-04-14 20:42:51,-9.0853,-78.5783,70.68,76,69,9.46
85,Clovis,US,2021-04-14 20:42:11,36.8252,-119.7029,68.0,36,20,3.44
86,Guerrero Negro,MX,2021-04-14 20:40:30,27.9769,-114.0611,65.26,56,94,18.39
87,Mahebourg,MU,2021-04-14 20:42:51,-20.4081,57.7,78.8,78,40,6.91
88,Beloha,MG,2021-04-14 20:42:52,-25.1667,45.05,72.93,90,4,7.07
89,Atar,MR,2021-04-14 20:42:53,20.5169,-13.0499,83.53,18,11,9.42
90,Ewa Beach,US,2021-04-14 20:42:53,21.3156,-158.0072,80.6,44,1,10.36
91,Gualaco,HN,2021-04-14 20:42:54,15.05,-86.05,91.4,46,40,3.44
92,Aripuana,BR,2021-04-14 20:42:54,-9.1667,-60.6333,78.04,91,99,3.58
93,Saldanha,ZA,2021-04-14 20:42:55,-33.0117,17.9442,71.6,43,60,5.75
94,Bathsheba,BB,2021-04-14 20:42:55,13.2167,-59.5167,82.4,61,20,8.05
95,Hambantota,LK,2021-04-14 20:38:07,6.1241,81.1185,79.41,80,100,5.12
96,Smithers,CA,2021-04-14 20:42:56,54.7804,-127.1743,53.6,40,20,3.44
97,Portland,US,2021-04-14 20:42:36,45.5234,-122.6762,66.99,20,1,5.75
98,Tonj,SS,2021-04-14 20:42:57,7.2737,28.6822,86.7,26,44,2.13
99,Polunochnoye,RU,2021-04-14 20:42:57,60.8697,60.4153,48.88,73,96,10.2
100,Lewistown,US,2021-04-14 20:42:58,40.5992,-77.5714,66.2,1,40,6.91
101,Kamenka,RU,2021-04-14 20:42:58,51.3223,42.7678,48.99,51,77,9.64
102,Dadri,IN,2021-04-14 20:42:59,28.5667,77.55,78.8,25,40,7.38
103,La Ronge,CA,2021-04-14 20:42:59,55.1001,-105.2842,46.4,23,100,8.05
104,Hermanus,ZA,2021-04-14 20:42:59,-34.4187,19.2345,64.99,87,0,1.99
105,Caravelas,BR,2021-04-14 20:43:00,-17.7125,-39.2481,75.76,75,10,11.48
106,Nizhniy Tsasuchey,RU,2021-04-14 20:43:01,50.5167,115.1333,32.7,44,100,10.31
107,Namibe,AO,2021-04-14 20:43:01,-15.1961,12.1522,80.67,75,18,4.41
108,Vieux-Habitants,GP,2021-04-14 20:43:02,16.0589,-61.7659,84.2,74,20,10.36
109,Devils Lake,US,2021-04-14 20:43:03,48.1128,-98.8651,28.99,80,90,16.11
110,Victor Harbor,AU,2021-04-14 20:43:04,-35.5667,138.6167,55.99,76,100,9.91
111,Vung Tau,VN,2021-04-14 20:43:04,10.346,107.0843,80.87,76,100,6.29
112,Sri Aman,MY,2021-04-14 20:43:05,1.2376,111.4621,75.2,94,100,0.58
113,Hithadhoo,MV,2021-04-14 20:43:05,-0.6,73.0833,82.13,67,57,4.65
114,Kawalu,ID,2021-04-14 20:43:06,-7.3817,108.2082,71.92,95,99,1.12
115,Tommot,RU,2021-04-14 20:43:06,58.9564,126.2925,14.49,94,99,2.44
116,Esperance,AU,2021-04-14 20:43:07,-33.8667,121.9,55.4,100,75,10.36
117,Avarua,CK,2021-04-14 20:43:07,-21.2078,-159.775,82.4,69,8,4.61
118,Mataura,NZ,2021-04-14 20:43:08,-46.1927,168.8643,51.01,97,98,1.01
119,Chapais,CA,2021-04-14 20:43:08,49.7834,-74.8492,62.6,23,1,4.61
120,Ucluelet,CA,2021-04-14 20:38:10,48.9329,-125.5528,60.01,58,1,6.91
121,Cidreira,BR,2021-04-14 20:39:00,-30.1811,-50.2056,71.47,63,13,15.57
122,Sukhodol,RU,2021-04-14 20:43:09,53.9006,51.2117,49.21,84,0,6.06
123,Hede,CN,2021-04-14 20:43:09,33.7681,120.2517,42.53,74,100,7.63
124,Kathmandu,NP,2021-04-14 20:43:10,27.7167,85.3167,62.6,63,20,3.44
125,Pomabamba,PE,2021-04-14 20:43:10,-8.8333,-77.4667,59.02,62,100,4.54
126,Khatanga,RU,2021-04-14 20:43:11,71.9667,102.5,-15.45,98,56,9.1
127,Ciudad Bolivar,VE,2021-04-14 20:43:12,8.1222,-63.5497,89.42,47,100,7.49
128,Ambon,ID,2021-04-14 20:43:12,-3.6954,128.1814,75.2,94,40,8.05
129,Kodiak,US,2021-04-14 20:43:13,57.79,-152.4072,42.8,70,90,12.66
130,Provideniya,RU,2021-04-14 20:43:13,64.3833,-173.3,21.2,63,0,4.47
131,Tanda,IN,2021-04-14 20:43:14,26.55,82.65,82.47,11,61,7.27
132,Saskylakh,RU,2021-04-14 20:43:15,71.9167,114.0833,-7.1,100,87,4.45
133,Tasiilaq,GL,2021-04-14 20:43:15,65.6145,-37.6368,32.0,93,90,1.14
134,Mehamn,NO,2021-04-14 20:43:16,71.0357,27.8492,30.2,100,40,36.82
135,Lagoa,PT,2021-04-14 20:43:16,39.05,-27.9833,60.91,88,100,11.3
136,Luderitz,NA,2021-04-14 20:43:17,-26.6481,15.1594,76.93,33,0,7.2
137,Gualaquiza,EC,2021-04-14 20:43:17,-3.4,-78.55,72.03,88,75,2.17
138,Karratha,AU,2021-04-14 20:43:18,-20.7377,116.8463,79.18,67,63,11.03
139,Swift Current,CA,2021-04-14 20:41:23,50.2834,-107.8014,32.0,64,90,5.75
140,Hargeysa,SO,2021-04-14 20:43:18,9.56,44.065,68.45,77,14,3.29
141,Soweto,ZA,2021-04-14 20:39:45,-26.2678,27.8585,68.0,42,75,3.44
142,Governador Valadares,BR,2021-04-14 20:43:19,-18.8511,-41.9494,71.35,86,40,2.53
143,Tura,IN,2021-04-14 20:43:20,25.5198,90.2201,77.18,50,100,6.38
144,Poretskoye,RU,2021-04-14 20:43:20,55.1974,46.3291,51.76,87,3,5.7
145,Vila Velha,BR,2021-04-14 20:38:33,-20.3297,-40.2925,78.8,65,0,18.41
146,Cuamba,MZ,2021-04-14 20:43:21,-14.8031,36.5372,64.33,85,52,4.34
147,Bredasdorp,ZA,2021-04-14 20:43:21,-34.5322,20.0403,57.2,94,0,1.14
148,Seoul,KR,2021-04-14 20:42:40,37.5683,126.9778,44.6,81,75,8.05
149,Yellowknife,CA,2021-04-14 20:43:22,62.456,-114.3525,41.0,42,1,10.36
150,Tevriz,RU,2021-04-14 20:43:22,57.509,72.4042,41.58,98,88,4.14
151,Tuktoyaktuk,CA,2021-04-14 20:43:23,69.4541,-133.0374,19.4,93,75,6.91
152,Husavik,IS,2021-04-14 20:43:24,66.0449,-17.3389,46.4,66,75,12.66
153,Whitehorse,CA,2021-04-14 20:43:24,60.7161,-135.0538,44.6,49,75,28.77
154,Mackay,AU,2021-04-14 20:43:25,-21.15,149.2,64.99,94,1,8.05
155,Hassleholm,SE,2021-04-14 20:43:25,56.1591,13.7664,41.0,75,75,2.46
156,Samdari,IN,2021-04-14 20:43:26,25.8167,72.5833,81.59,27,25,8.7
157,Bambous Virieux,MU,2021-04-14 20:43:26,-20.3428,57.7575,79.0,78,40,6.91
158,Niamey,NE,2021-04-14 20:43:27,13.5137,2.1098,98.6,9,65,4.61
159,Alta Floresta,BR,2021-04-14 20:43:27,-9.8756,-56.0861,77.88,90,97,1.74
160,San Patricio,US,2021-04-14 20:43:28,28.017,-97.5169,91.4,58,40,8.05
161,Pueblo Bello,CO,2021-04-14 20:43:28,8.2041,-76.526,82.96,80,100,4.7
162,Sao Paulo De Olivenca,BR,2021-04-14 20:43:29,-3.3783,-68.8725,80.6,77,100,2.17
163,Coihaique,CL,2021-04-14 20:43:29,-45.5752,-72.0662,55.4,50,40,6.91
164,Andenes,NO,2021-04-14 20:43:30,69.3143,16.1194,36.0,87,90,28.77
165,Olinda,BR,2021-04-14 20:41:45,-8.0089,-34.8553,80.6,74,40,8.05
166,Coquimbo,CL,2021-04-14 20:39:58,-29.9533,-71.3436,60.8,82,40,9.22
167,Goderich,CA,2021-04-14 20:39:13,43.7501,-81.7165,48.2,49,86,9.22
168,Kholmogory,RU,2021-04-14 20:43:31,64.2229,41.656,33.8,75,40,6.71
